queue_length,active_counters,avg_proc_time,crop_type,hour_of_day,day_of_week,waiting_minutes
4,2,5.94,COTTON,8,2,13.0
30,4,4.63,MAIZE,10,3,40.5
37,4,5.43,PADDY,13,0,60.1
23,3,5.38,WHEAT,12,1,49.8
39,3,6.93,SOYBEAN,8,0,81.6
45,2,4.76,WHEAT,12,0,129.6
15,4,6.92,COTTON,9,2,33.4
43,5,6.51,SOYBEAN,8,1,48.7
29,2,6.7,WHEAT,11,4,112.4
36,3,5.8,CHANA,13,0,65.5
13,3,6.54,WHEAT,14,1,31.5
32,4,6.33,CHANA,16,0,41.7
7,4,6.81,PADDY,12,3,16.4
59,4,5.84,COTTON,15,3,104.5
51,4,5.92,MAIZE,15,1,68.4
22,4,6.43,WHEAT,16,2,34.0
28,5,4.82,SOYBEAN,10,4,30.0
2,5,5.81,COTTON,10,3,4.7
42,3,7.42,WHEAT,16,2,96.2
45,3,4.61,SOYBEAN,14,4,67.7
57,3,5.45,SOYBEAN,11,3,114.7
53,3,5.44,MAIZE,8,4,90.5
6,6,6.4,MAIZE,14,5,6.2
28,4,4.82,SOYBEAN,13,0,35.4
28,3,6.39,MAIZE,10,1,68.3
44,4,4.79,SOYBEAN,12,3,59.3
44,4,4.78,WHEAT,10,3,64.3
20,3,6.68,PADDY,15,0,44.8
30,4,5.47,MAIZE,12,3,47.5
11,4,7.43,CHANA,13,3,19.7
58,4,4.61,CHANA,9,5,57.3
55,2,5.84,CHANA,15,3,140.0
28,3,4.84,PADDY,16,3,48.5
25,4,5.55,SOYBEAN,10,3,37.8
39,3,7.49,SOYBEAN,13,2,97.3
33,4,7.17,COTTON,13,3,77.9
1,4,4.64,CHANA,9,0,2.0
57,4,6.19,CHANA,15,5,78.5
27,5,6.44,SOYBEAN,12,3,40.5
57,4,5.13,CHANA,15,4,65.6
52,3,4.94,SOYBEAN,15,5,77.1
13,4,7.21,SOYBEAN,10,5,25.8
41,4,7.41,MAIZE,12,4,88.9
3,4,7.48,SOYBEAN,14,0,7.3
39,3,6.87,WHEAT,12,2,105.5
6,6,6.49,WHEAT,13,0,9.1
8,4,5.54,WHEAT,9,2,11.6
27,3,5.01,WHEAT,15,1,42.0
9,3,4.74,PADDY,12,4,18.1
37,2,6.58,COTTON,13,5,163.5
33,5,6.85,COTTON,8,5,52.7
51,3,6.98,SOYBEAN,9,5,106.3
42,3,7.24,CHANA,11,4,111.8
44,5,7.14,WHEAT,16,4,61.7
24,3,7.5,COTTON,13,2,81.1
15,2,5.23,COTTON,15,5,48.4
59,2,6.79,WHEAT,9,0,189.8
54,3,6.26,PADDY,12,2,147.9
32,3,5.28,PADDY,8,5,60.8
32,4,7.45,COTTON,11,4,89.3
24,3,7.19,PADDY,8,4,63.8
41,3,4.89,MAIZE,16,4,62.8
52,4,4.58,WHEAT,9,5,57.2
49,4,6.56,COTTON,14,4,106.5
49,4,6.31,WHEAT,10,1,87.8
58,4,7.31,PADDY,9,4,113.4
52,3,5.2,WHEAT,11,5,105.7
12,4,4.75,PADDY,14,2,18.2
39,4,5.28,PADDY,14,4,59.1
2,4,4.56,WHEAT,16,3,2.0
3,5,4.61,PADDY,10,1,5.3
49,2,7.24,MAIZE,14,5,183.3
37,4,5.56,SOYBEAN,13,4,49.8
49,3,5.73,WHEAT,14,3,98.4
56,4,4.56,SOYBEAN,14,5,66.5
17,4,5.31,WHEAT,12,2,26.9
59,5,6.91,PADDY,16,1,86.6
49,2,6.35,PADDY,14,4,184.2
2,4,6.76,COTTON,14,2,5.1
2,4,5.84,MAIZE,10,5,5.5
28,4,5.43,COTTON,8,3,47.3
54,4,5.95,SOYBEAN,12,5,91.4
23,4,5.47,PADDY,15,5,35.7
37,4,7.02,COTTON,12,1,97.6
32,3,5.39,PADDY,10,4,75.1
33,4,6.48,WHEAT,16,2,48.8
1,3,4.91,COTTON,9,1,2.0
19,6,6.56,SOYBEAN,10,3,21.3
2,4,7.24,COTTON,11,4,6.0
53,6,6.33,PADDY,8,1,58.5
44,3,6.18,CHANA,11,3,99.8
26,5,7.38,CHANA,11,3,42.8
32,5,6.38,MAIZE,16,2,37.4
6,4,5.28,PADDY,15,5,9.9
32,4,5.38,WHEAT,9,3,41.1
55,3,6.62,COTTON,14,3,160.4
4,5,6.71,CHANA,13,5,3.7
55,4,5.41,WHEAT,14,0,77.0
11,2,5.54,PADDY,11,3,40.3
56,3,7.47,WHEAT,12,4,164.0
59,5,4.81,PADDY,13,1,65.9
17,5,5.71,MAIZE,16,5,19.0
38,6,4.69,COTTON,9,5,37.3
24,4,6.96,WHEAT,16,5,38.8
5,3,4.78,COTTON,8,4,8.4
52,3,6.52,WHEAT,11,5,135.3
34,3,4.67,PADDY,12,4,74.0
6,2,6.52,PADDY,16,2,19.4
22,4,7.03,WHEAT,13,0,41.9
11,3,5.7,MAIZE,11,5,23.9
48,4,6.07,PADDY,9,0,78.5
16,5,5.7,SOYBEAN,12,5,19.0
33,4,5.4,SOYBEAN,15,4,38.3
9,5,6.91,COTTON,15,1,13.4
59,4,5.32,SOYBEAN,13,0,77.4
6,3,6.67,SOYBEAN,8,0,11.7
16,4,5.12,MAIZE,15,4,20.5
29,2,5.25,MAIZE,11,0,86.8
3,3,5.51,CHANA,9,2,3.9
20,4,6.27,CHANA,8,4,30.5
59,2,5.86,MAIZE,14,0,178.1
36,3,6.74,CHANA,9,0,71.1
19,4,5.14,MAIZE,11,0,29.4
26,6,4.53,CHANA,11,4,20.5
3,4,6.83,PADDY,8,1,5.4
19,4,6.96,MAIZE,9,3,30.3
20,3,4.68,COTTON,8,5,37.8
32,4,6.33,COTTON,13,0,69.4
7,4,5.63,MAIZE,10,3,12.4
52,4,6.88,SOYBEAN,8,3,77.3
41,6,7.12,COTTON,15,0,60.7
33,3,7.05,SOYBEAN,11,0,86.5
40,5,6.83,COTTON,14,5,74.0
39,5,5.31,WHEAT,9,3,38.7
18,2,6.94,WHEAT,13,1,65.5
40,4,6.1,MAIZE,13,3,64.7
1,6,4.66,COTTON,14,1,2.0
11,3,5.87,PADDY,8,2,24.8
28,4,7.33,SOYBEAN,8,1,46.2
57,6,7.16,COTTON,9,5,82.5
25,4,4.81,MAIZE,9,4,28.0
50,3,6.73,SOYBEAN,12,0,123.9
23,4,6.92,CHANA,8,2,30.7
31,3,5.31,MAIZE,9,3,50.0
30,4,5.91,COTTON,13,1,61.2
42,2,6.63,PADDY,10,2,186.2
35,4,5.82,CHANA,11,4,52.3
7,4,4.84,MAIZE,8,1,9.8
16,4,6.62,COTTON,12,5,39.1
26,4,7.23,WHEAT,11,3,53.4
48,4,6.46,COTTON,15,3,95.8
57,4,6.82,WHEAT,10,1,113.9
52,3,5.58,WHEAT,8,4,95.7
49,4,5.05,MAIZE,12,0,70.5
2,3,6.43,COTTON,8,0,4.8
1,5,5.48,COTTON,12,3,2.0
48,2,7.08,WHEAT,16,4,161.7
12,4,4.87,SOYBEAN,12,3,17.6
5,4,5.8,CHANA,9,0,3.7
37,4,5.69,PADDY,9,3,57.0
32,2,7.31,COTTON,16,1,141.7
59,4,4.96,CHANA,12,5,78.1
55,4,4.53,CHANA,15,1,52.3
9,4,5.21,SOYBEAN,11,5,14.6
41,4,6.96,CHANA,9,4,62.8
35,4,5.13,COTTON,11,0,66.9
19,4,5.22,MAIZE,11,4,29.9
48,4,4.89,MAIZE,16,4,55.4
16,4,6.65,CHANA,13,0,27.0
3,4,4.71,COTTON,13,2,7.2
20,3,5.49,COTTON,12,2,55.6
24,2,5.35,WHEAT,13,3,70.3
54,3,6.17,SOYBEAN,8,2,102.3
56,3,6.69,PADDY,12,1,166.2
33,4,6.1,WHEAT,13,5,50.3
24,4,7.29,PADDY,15,4,46.7
52,3,7.35,COTTON,11,3,192.9
11,5,5.58,MAIZE,12,4,14.5
49,2,6.83,WHEAT,11,0,197.4
8,4,6.72,CHANA,14,2,13.9
36,4,7.18,CHANA,13,0,63.6
38,4,5.84,PADDY,11,3,70.9
40,2,6.09,COTTON,13,5,165.8
20,4,5.75,MAIZE,11,1,31.0
35,4,7.05,PADDY,15,2,65.0
48,5,5.19,MAIZE,10,0,56.3
25,4,5.22,SOYBEAN,15,5,28.4
35,5,5.62,MAIZE,9,2,38.2
25,3,5.19,CHANA,13,4,42.0
29,4,6.18,WHEAT,15,1,43.6
18,4,4.9,WHEAT,8,5,21.9
46,4,5.46,WHEAT,13,2,63.1
18,3,7.24,MAIZE,16,1,39.6
2,4,5.73,CHANA,9,5,3.6
54,4,6.74,MAIZE,8,4,85.8
35,4,4.84,COTTON,9,4,48.9
16,3,5.24,CHANA,12,0,31.9
41,5,6.92,CHANA,13,3,55.8
36,2,6.79,MAIZE,8,0,112.3
33,5,5.66,MAIZE,14,1,39.0
4,5,7.36,WHEAT,11,0,6.6
33,5,7.23,CHANA,16,5,42.5
14,4,7.39,WHEAT,13,2,24.4
21,4,5.78,COTTON,16,5,36.4
48,6,5.09,SOYBEAN,8,0,38.5
20,3,6.38,WHEAT,11,3,51.0
56,4,6.55,MAIZE,9,5,86.6
8,4,4.88,PADDY,13,5,11.1
7,4,6.86,SOYBEAN,11,5,14.3
3,3,4.55,COTTON,16,3,5.3
17,4,5.95,MAIZE,10,5,27.8
33,5,5.49,SOYBEAN,8,1,32.3
48,2,6.72,MAIZE,8,4,152.4
12,5,5.44,WHEAT,16,3,14.1
59,2,6.98,MAIZE,16,1,190.2
51,4,6.28,COTTON,12,3,120.4
22,2,6.88,PADDY,9,3,79.2
55,2,7.47,WHEAT,16,4,195.4
22,5,6.54,WHEAT,15,2,28.8
46,4,7.45,COTTON,13,1,118.3
30,4,4.59,COTTON,14,3,44.1
38,3,5.51,SOYBEAN,13,3,71.0
38,4,4.82,PADDY,12,0,60.5
45,4,5.29,MAIZE,11,5,68.2
51,4,7.02,SOYBEAN,14,2,87.8
54,3,4.6,MAIZE,11,4,98.4
8,5,6.06,MAIZE,16,1,6.6
27,4,6.2,MAIZE,12,3,47.7
27,4,6.18,SOYBEAN,15,5,38.2
34,3,5.93,WHEAT,13,1,71.2
21,4,6.87,COTTON,11,4,56.4
30,4,4.9,WHEAT,10,2,42.0
33,4,5.43,PADDY,13,0,53.6
28,3,6.35,SOYBEAN,8,2,53.4
47,6,6.57,PADDY,9,0,54.8
33,3,5.71,COTTON,14,1,83.8
5,4,7.13,COTTON,11,2,13.7
48,4,5.75,CHANA,12,2,74.6
19,3,5.71,PADDY,8,2,37.9
4,4,4.61,WHEAT,9,4,3.6
35,3,6.15,PADDY,11,1,95.4
49,5,6.63,SOYBEAN,15,0,56.6
17,5,4.84,COTTON,11,2,24.6
44,5,5.42,COTTON,10,1,70.8
28,2,6.84,PADDY,10,5,126.4
30,4,5.6,PADDY,12,4,55.3
29,4,5.22,MAIZE,10,4,45.1
46,5,6.52,PADDY,15,5,64.8
53,4,5.09,MAIZE,12,1,78.4
6,5,7.19,SOYBEAN,14,0,8.9
35,4,4.82,SOYBEAN,15,1,37.8
41,4,6.62,WHEAT,12,1,79.8
37,3,6.0,PADDY,15,3,76.1
24,4,7.11,WHEAT,10,4,51.4
29,4,4.88,CHANA,14,0,34.6
49,4,6.53,SOYBEAN,15,3,74.0
46,4,6.22,COTTON,14,5,95.2
53,4,5.94,MAIZE,9,1,75.2
31,3,5.97,CHANA,15,5,53.7
35,4,6.67,COTTON,13,4,77.5
33,4,7.31,CHANA,10,3,67.8
52,4,4.77,WHEAT,11,3,73.8
21,2,4.56,WHEAT,14,0,52.8
32,3,6.92,MAIZE,10,1,85.6
23,3,4.82,SOYBEAN,8,0,34.6
33,4,7.46,MAIZE,13,3,64.9
3,2,6.36,COTTON,10,3,14.0
18,4,6.45,CHANA,13,0,28.6
25,5,5.1,MAIZE,10,3,29.7
42,3,5.22,PADDY,13,2,87.2
31,4,6.48,PADDY,11,4,64.8
54,4,7.23,SOYBEAN,11,1,110.3
58,5,7.45,MAIZE,9,4,81.8
3,4,5.09,COTTON,11,1,4.7
40,4,4.9,PADDY,11,3,63.5
46,5,4.67,SOYBEAN,14,0,40.4
24,4,7.1,MAIZE,12,0,52.4
50,5,5.38,SOYBEAN,15,3,47.5
32,2,4.51,COTTON,14,1,99.0
47,5,5.17,PADDY,16,3,51.4
22,4,5.52,PADDY,15,1,34.0
23,4,7.47,PADDY,16,3,46.6
2,3,6.07,WHEAT,8,3,7.0
27,4,5.11,PADDY,10,3,47.8
42,2,5.5,CHANA,12,0,125.8
2,5,5.49,WHEAT,16,1,2.6
26,5,4.56,MAIZE,15,5,23.1
17,3,4.91,WHEAT,14,3,33.2
40,5,6.59,WHEAT,9,4,50.2
33,4,4.86,WHEAT,13,4,40.2
9,4,5.19,SOYBEAN,11,0,13.5
43,4,5.55,CHANA,12,2,63.8
54,3,6.77,COTTON,12,5,184.5
48,3,6.25,PADDY,11,0,133.8
39,3,6.57,WHEAT,11,2,101.5
29,5,6.2,COTTON,11,0,53.4
42,2,6.55,SOYBEAN,9,4,123.8
55,5,4.51,COTTON,8,3,58.7
26,3,7.29,WHEAT,9,1,62.0
35,4,4.83,MAIZE,14,3,44.7
50,4,5.72,CHANA,8,4,60.8
25,5,6.81,COTTON,13,1,49.6
24,3,5.81,WHEAT,11,2,54.5
13,4,7.34,WHEAT,9,2,23.1
58,4,5.9,PADDY,10,4,112.6
7,2,7.12,MAIZE,14,1,26.3
57,3,6.93,PADDY,13,3,155.0
36,4,7.44,MAIZE,13,4,66.8
45,4,7.28,CHANA,15,2,73.3
20,4,7.19,PADDY,15,4,37.0
1,4,6.69,CHANA,13,3,3.0
8,4,5.6,SOYBEAN,8,0,9.8
46,4,4.82,SOYBEAN,14,5,55.4
16,4,6.57,MAIZE,15,5,25.2
14,5,7.44,MAIZE,12,5,24.3
12,4,6.68,PADDY,11,0,27.6
51,4,7.29,SOYBEAN,14,3,91.6
23,3,6.91,COTTON,13,1,72.8
15,4,4.99,COTTON,13,4,23.6
28,3,5.25,COTTON,10,3,72.6
34,4,5.53,SOYBEAN,11,0,53.5
2,4,5.0,COTTON,12,2,5.4
32,5,6.24,CHANA,16,5,35.4
23,3,7.43,WHEAT,15,5,56.3
22,4,6.78,MAIZE,10,3,41.9
51,4,5.77,PADDY,13,5,84.8
25,3,4.51,CHANA,8,5,34.1
58,3,5.44,COTTON,10,3,159.0
22,3,6.08,WHEAT,14,3,48.0
58,3,5.47,PADDY,14,0,122.9
58,3,4.83,CHANA,9,0,81.0
22,3,5.83,PADDY,10,5,59.1
49,3,5.26,MAIZE,14,3,88.1
52,4,7.23,SOYBEAN,13,3,95.9
42,4,4.81,COTTON,14,5,69.0
6,6,4.65,CHANA,16,1,3.6
15,4,4.52,CHANA,15,2,16.9
54,4,5.48,WHEAT,13,4,78.2
43,5,6.48,WHEAT,11,4,65.8
37,4,6.69,WHEAT,16,5,58.7
33,4,5.86,PADDY,14,4,57.5
8,4,6.55,COTTON,12,0,18.1
53,3,5.58,PADDY,9,0,106.2
44,3,6.5,COTTON,16,1,116.6
44,4,4.62,CHANA,14,5,48.3
5,4,5.67,PADDY,16,0,5.6
39,2,6.87,PADDY,16,5,142.2
4,5,6.91,PADDY,12,5,7.7
6,4,6.65,SOYBEAN,14,3,10.2
45,4,5.11,MAIZE,12,2,66.7
32,5,5.24,COTTON,10,2,51.7
52,4,7.49,COTTON,15,5,116.6
30,6,4.81,PADDY,15,2,25.5
47,4,5.04,SOYBEAN,16,2,53.9
35,3,4.89,PADDY,13,4,67.8
55,4,5.48,COTTON,9,4,93.0
40,4,5.13,MAIZE,10,3,59.0
52,4,5.99,MAIZE,13,1,80.2
16,6,5.93,CHANA,8,0,12.7
13,4,7.2,SOYBEAN,9,0,21.7
50,4,4.6,MAIZE,15,4,52.3
42,5,5.46,SOYBEAN,15,5,42.3
30,4,6.29,PADDY,13,2,57.2
19,4,6.31,CHANA,10,3,33.3
17,5,5.94,COTTON,9,1,26.5
56,3,6.95,MAIZE,13,4,132.8
19,4,4.69,MAIZE,8,5,18.9
28,5,6.95,WHEAT,13,3,40.6
58,4,5.98,COTTON,16,5,104.6
55,4,4.9,MAIZE,14,3,68.6
26,4,7.16,MAIZE,16,4,40.0
37,4,6.45,COTTON,9,3,72.8
26,5,4.99,CHANA,12,2,28.2
53,3,4.6,SOYBEAN,16,3,74.6
23,3,4.92,COTTON,14,1,51.6
9,3,6.33,SOYBEAN,16,3,16.9
12,4,5.04,CHANA,13,0,16.0
53,4,5.18,CHANA,14,3,67.6
1,5,4.58,PADDY,12,5,2.0
58,4,6.67,WHEAT,13,4,101.8
58,4,6.93,CHANA,8,0,90.1
1,2,6.89,CHANA,8,4,3.5
47,4,4.88,SOYBEAN,9,5,50.5
34,4,7.21,CHANA,11,1,64.8
32,2,6.52,COTTON,16,2,124.6
54,3,7.19,PADDY,14,1,149.2
48,3,5.84,PADDY,13,0,109.2
25,2,5.81,COTTON,8,5,88.1
40,4,6.85,MAIZE,12,5,77.8
45,3,4.78,CHANA,11,2,76.8
53,4,6.06,WHEAT,12,3,93.4
1,5,7.01,CHANA,16,0,2.0
16,4,6.99,PADDY,10,2,36.7
39,6,7.37,WHEAT,11,4,57.5
5,4,6.59,MAIZE,15,2,6.9
22,4,5.12,SOYBEAN,10,4,33.3
29,6,4.56,SOYBEAN,10,4,24.9
55,3,5.94,CHANA,16,5,96.5
3,5,6.04,CHANA,12,2,4.0
12,2,5.22,WHEAT,8,5,30.8
26,4,4.87,WHEAT,14,5,31.1
16,2,6.26,MAIZE,14,1,52.8
51,4,6.79,CHANA,13,1,83.7
37,4,7.48,PADDY,13,5,83.0
22,4,6.77,SOYBEAN,10,5,41.4
57,4,6.88,MAIZE,10,4,116.0
29,4,6.35,WHEAT,16,5,44.5
14,2,7.46,PADDY,8,0,54.2
28,3,6.42,CHANA,14,2,59.6
5,5,7.08,COTTON,14,0,7.9
47,4,7.34,WHEAT,15,1,80.2
49,5,7.29,MAIZE,13,0,75.4
30,5,5.64,COTTON,15,3,41.7
46,4,4.74,PADDY,8,3,58.1
52,4,5.02,SOYBEAN,8,1,58.1
5,2,4.68,PADDY,16,0,13.7
12,3,4.82,SOYBEAN,11,2,21.2
16,2,5.05,PADDY,10,1,53.7
26,4,5.52,WHEAT,13,3,36.0
26,4,6.13,WHEAT,16,1,37.8
48,4,6.64,MAIZE,11,0,92.3
21,4,5.13,COTTON,16,0,33.6
39,4,6.52,PADDY,12,0,84.5
36,4,6.61,PADDY,14,4,69.5
33,4,6.18,COTTON,10,0,77.4
30,2,7.21,CHANA,10,5,118.9
37,3,4.83,MAIZE,10,3,66.7
23,4,5.03,PADDY,15,3,30.5
58,4,5.79,MAIZE,13,4,86.6
10,4,4.88,PADDY,16,3,11.6
54,3,6.2,PADDY,16,3,120.1
5,4,5.7,CHANA,15,1,7.1
36,3,5.35,WHEAT,8,0,62.5
34,3,5.01,MAIZE,13,5,61.7
52,4,5.51,COTTON,11,5,108.6
31,4,6.32,MAIZE,11,1,56.3
10,4,6.23,CHANA,10,5,18.3
58,5,4.99,SOYBEAN,16,1,51.4
19,4,4.87,SOYBEAN,9,5,21.6
58,4,4.58,CHANA,8,3,59.6
32,3,4.54,CHANA,10,2,53.8
1,4,7.14,WHEAT,11,0,4.2
56,4,4.64,MAIZE,11,2,74.6
5,4,6.69,MAIZE,13,3,9.7
45,4,7.12,SOYBEAN,8,4,72.4
4,3,4.79,COTTON,8,1,8.2
16,4,5.81,MAIZE,9,5,22.0
24,5,7.39,PADDY,11,5,47.7
16,5,7.0,PADDY,14,3,26.3
55,4,5.97,WHEAT,13,5,84.0
2,4,6.79,WHEAT,16,3,3.5
49,4,7.0,SOYBEAN,14,2,86.1
28,4,5.54,COTTON,12,4,58.6
32,3,7.18,COTTON,13,1,103.5
27,4,5.91,CHANA,16,5,34.7
20,4,6.08,WHEAT,8,4,28.5
24,6,7.5,MAIZE,16,4,30.0
12,4,7.03,PADDY,13,4,28.2
